OPP CUST - Final Customer,Amount,Pipeline 2022 (k$),Pipeline 2023 (k$),Pipeline 2024 (k$),Pipeline 2025 (k$),Pipeline 2026 (k$),Weighted 2021 (k$),PROD - Product name(new) ,INFO - Sales Region,Services Value (k$) 2021,Services Value (k$) 2022,Services Value (k$) 2023,Services Value (k$) 2024,Services Value (k$) 2025,Services Value (k$) 2026,Deal owner,Pipeline 2026 (k$)2,Weighted 2021 (k$)3,Weighted 2023 (k$),INFO - Sales Region4,Pipeline 2021 (k$),Deal Stage,Weighted 2022 (k$),Amount5,Pipeline 2025 (k$)6,Deal Stage7,Deal ID
Valqari,0,0,0,0,0,0,0,VIC408,NORAM,0,0,0,0,0,0,Richard Venia,0,0,0,NORAM,0,Qualified,0,0,0,Qualified,5574187556
Vestel,162.5,0,0,25,47.5,90,0,VIC405 1.2.5,EMEA,0,0,0,0,0,0,franck buonanno,90,0,0,EMEA,0,Design In,0,162.5,47.5,Design In,9768167564
Vix,110.2,30.4,0,26.6,26.6,0,26.6,MS6001,APAC,0,0,0,0,0,0,KATSUNORI MIYAHATA,0,26.6,0,APAC,26.6,Closed Won,30.4,110.2,26.6,Closed Won,5783220626
Watts (France),940,0,235,235,235,235,0,SCR075,EMEA,0,0,0,0,0,0,franck buonanno,235,0,47,EMEA,0,Qualified,0,940,235,Qualified,9055290493
Wi-SUN HAN Gateway vendor,350,50,0,100,100,100,0,INES,APAC,0,50,0,100,100,100,KATSUNORI MIYAHATA,100,0,0,APAC,0,Identified,5,350,100,Identified,5676017990
Winkhous Germany,1010,200,200,200,200,200,2,(No value),EMEA,0,0,0,0,0,0,franck buonanno,200,2,40,EMEA,10,Qualified,40,1010,200,Qualified,5783215220
Workaround,275.4,0,38.9,67.5,84.5,84.5,0,VIC408,EMEA,0,0,10,25,25,25,franck buonanno,84.5,0,7.78,EMEA,0,Qualified,0,275.4,84.5,Qualified,10471347480
"Zenshoku, food supply company for middle class super market.",265,0,2.5,12.5,125,125,0,VIC155,APAC,0,0,0,0,0,0,KATSUNORI MIYAHATA,125,0,1.25,APAC,0,Design In,0,265,125,Design In,7345261491
thales,5.45,0,0,1.95,1.8,1.7,0,MS6003,EMEA,0,0,0,1.95,1.8,1.7,franck buonanno,1.7,0,0,EMEA,0,Design In,0,5.45,1.8,Design In,11342387338
(No value),0,0,0,0,0,0,0,(No value),EMEA,0,0,0,0,0,0,Carlos Moreno,0,0,0,EMEA,0,Qualified,0,0,0,Qualified,7681781855
(No value),50,0,20,10,10,10,0,INES,EMEA,0,0,20,10,10,10,Fabien Treillaud,10,0,10,EMEA,0,Design In,0,50,10,Design In,10615765068
(No value),90,0,0,30,30,30,0,INES,EMEA,0,0,0,30,30,30,Fabien Treillaud,30,0,0,EMEA,0,Qualified,0,90,30,Qualified,10458496596
(No value),130,0,20,30,40,40,0,INES,EMEA,0,0,20,30,40,40,Fabien Treillaud,40,0,4,EMEA,0,Qualified,0,130,40,Qualified,11223062814
(No value),414,294,0,0,0,0,24,(No value),EMEA,120,294,0,0,0,0,Carlos Moreno,0,24,0,EMEA,120,Qualified,58.8,414,0,Qualified,6810801776
(No value),0,0,0,0,0,0,0,VIC408,NORAM,0,0,0,0,0,0,Richard Venia,0,0,0,NORAM,0,Identified,0,0,0,Identified,10932394131
(No value),60,0,15,15,15,15,0,INES,EMEA,0,0,15,15,15,15,Fabien Treillaud,15,0,3,EMEA,0,Qualified,0,60,15,Qualified,11083742733
(No value),60,0,15,15,15,15,0,(No value),EMEA,0,0,15,15,15,15,Fabien Treillaud,15,0,1.5,EMEA,0,Identified,0,60,15,Identified,11849563984
(No value),660,0,60,200,200,200,0,PKI,EMEA,0,0,60,200,200,200,Fabien Treillaud,200,0,30,EMEA,0,Design In,0,660,200,Design In,10459564104
(No value),132.5,0,7.5,45,80,0,0,VIC405 1.2.5,EMEA,0,0,0,0,0,0,franck buonanno,0,0,1.5,EMEA,0,Qualified,0,132.5,80,Qualified,6832295763
(No value),67.41,0,1.2,10.8,29.16,26.25,0,VIC408,NORAM,0,0,0,0,0,0,Richard Venia,26.25,0,0.12,NORAM,0,Identified,0,67.41,29.16,Identified,8263180560
(No value),55,0,0,15,20,20,0,INES,EMEA,0,0,0,15,20,20,Fabien Treillaud,20,0,0,EMEA,0,Qualified,0,55,20,Qualified,11222277507
(No value),0,0,0,0,0,0,0,(No value),NORAM,0,0,0,0,0,0,Richard Venia,0,0,0,NORAM,0,Identified,0,0,0,Identified,8262914649
(No value),245.51,0,2.41,17.1,77,149,0,MS6003,NORAM,0,0,0,0,0,0,Richard Venia,149,0,0.482,NORAM,0,Qualified,0,245.51,77,Qualified,9191153808
(No value),60,0,15,15,15,15,0,(No value),EMEA,0,0,15,15,15,15,Fabien Treillaud,15,0,3,EMEA,0,Qualified,0,60,15,Qualified,11316972686
(No value),150,0,50,50,50,0,0,PKI,EMEA,0,0,50,50,50,0,Carlos Moreno,0,0,50,EMEA,0,Closed Won,0,150,50,Closed Won,12046755850
(No value),60,0,15,15,15,15,0,INES,EMEA,0,0,15,15,15,15,Fabien Treillaud,15,0,3,EMEA,0,Qualified,0,60,15,Qualified,10994936700
(No value),313.92,0,1.57,70.65,127.2,114.5,0,SCR400,NORAM,0,0,0,0,0,0,Richard Venia,114.5,0,0.157,NORAM,0,Identified,0,313.92,127.2,Identified,6205628807
(No value),67,7,10,12,15,18,5,(No value),EMEA,5,7,10,12,15,18,Carlos Moreno,18,5,10,EMEA,5,Closed Won,7,67,15,Closed Won,7683376718
(No value),205,0,15,50,70,70,0,INES,EMEA,0,0,15,50,70,70,Fabien Treillaud,70,0,3,EMEA,0,Qualified,0,205,70,Qualified,10458001285
(No value),643.8,107,107.6,214.6,214.6,0,0,(No value),EMEA,0,107,107,214,214,0,franck buonanno,0,0,21.52,EMEA,0,Qualified,21.4,643.8,214.6,Qualified,7461598505
(No value),25.6,0,0,0,0,0,25.6,VIC183,NORAM,0,0,0,0,0,0,Richard Venia,0,25.6,0,NORAM,25.6,Closed Won,0,25.6,0,Closed Won,7663799613
(No value),406.92,0,1.32,6,10.8,48.6,0,VIC408,NORAM,0,0,0,0,0,0,Richard Venia,48.6,0,0.264,NORAM,0,Qualified,0,406.92,10.8,Qualified,8714012805
(No value),1444.32,82.16,391.6,328.68,295.68,266.2,80,SCR075,NORAM,80,0,0,0,0,0,Richard Venia,266.2,80,391.6,NORAM,80,Closed Won,82.16,1444.32,295.68,Closed Won,7841199664
(No value),60,0,15,15,15,15,0,(No value),EMEA,0,0,15,15,15,15,Fabien Treillaud,15,0,3,EMEA,0,Qualified,0,60,15,Qualified,11287231563
(No value),135.6,0,3,30,54,48.6,0,VIC408,NORAM,0,0,0,0,0,0,Richard Venia,48.6,0,1.5,NORAM,0,Design In,0,135.6,54,Design In,8589493364
(No value),170,0,30,40,50,50,0,(No value),EMEA,0,0,30,40,50,50,Fabien Treillaud,50,0,3,EMEA,0,Identified,0,170,50,Identified,11849197995
(No value),0,0,0,0,0,0,0,VIC408,NORAM,0,0,0,0,0,0,Richard Venia,0,0,0,NORAM,0,Identified,0,0,0,Identified,11225222487
(No value),105,0,15,30,30,30,0,INES,EMEA,0,0,15,30,30,30,Fabien Treillaud,30,0,7.5,EMEA,0,Design In,0,105,30,Design In,11086893668
(No value),0,0,0,0,0,0,0,(No value),EMEA,0,0,0,0,0,0,franck buonanno,0,0,0,EMEA,0,Design In,0,0,0,Design In,6131810631
(No value),245.51,0,2.41,17.1,77,149,0,MS6003,NORAM,0,0,0,0,0,0,Richard Venia,149,0,0.482,NORAM,0,Qualified,0,245.51,77,Qualified,9191253672
(No value),0,0,0,0,0,0,0,VIC408,NORAM,0,0,0,0,0,0,Richard Venia,0,0,0,NORAM,0,Identified,0,0,0,Identified,11225222736
(No value),0,0,0,0,0,0,0,(No value),EMEA,0,0,0,0,0,0,Pierre Maudet,0,0,0,EMEA,0,Identified,0,0,0,Identified,9342138370
(No value),0,0,0,0,0,0,0,MS6003,NORAM,0,0,0,0,0,0,Richard Venia,0,0,0,NORAM,0,Identified,0,0,0,Identified,11196289356
(No value),1149.9,107.5,244.4,320,373,105,0,(No value),EMEA,0,107.5,215,215,268,0,franck buonanno,105,0,122.2,EMEA,0,Design In,53.75,1149.9,373,Design In,7461465242
(No value),60,0,15,15,15,15,0,INES,EMEA,0,0,15,15,15,15,Fabien Treillaud,15,0,3,EMEA,0,Qualified,0,60,15,Qualified,10458497338
(No value),0,0,0,0,0,0,0,VIC408,NORAM,0,0,0,0,0,0,Richard Venia,0,0,0,NORAM,0,Identified,0,0,0,Identified,11225225243
(No value),0,0,0,0,0,0,0,(No value),EMEA,0,0,0,0,0,0,Pierre Maudet,0,0,0,EMEA,0,Identified,0,0,0,Identified,8231194189
(No value),12800,0,800,4400,4000,3600,0,Act2L v1.5 (CISCO),NORAM,0,0,0,0,0,0,Richard Venia,3600,0,800,NORAM,0,Closed Won,0,12800,4000,Closed Won,9345095939
(No value),221,0,1,20,50,150,0,VIC408,NORAM,0,0,0,0,0,0,Richard Venia,150,0,0.2,NORAM,0,Qualified,0,221,50,Qualified,10519508660
(No value),0,0,0,0,0,0,0,VIC408,NORAM,0,0,0,0,0,0,Richard Venia,0,0,0,NORAM,0,Identified,0,0,0,Identified,10932397945
(No value),170,0,30,40,50,50,0,(No value),EMEA,0,0,30,40,50,50,Fabien Treillaud,50,0,3,EMEA,0,Identified,0,170,50,Identified,11634297667
(No value),266.4,0,3,15,54,194.4,0,VIC408,NORAM,0,0,0,0,0,0,Richard Venia,194.4,0,0.3,NORAM,0,Identified,0,266.4,54,Identified,8649816410
(No value),691.65,0,131.25,150,216,194.4,0,VIC405 1.2.6 (CUSTOM - BK Tech),NORAM,0,0,0,0,0,0,Richard Venia,194.4,0,131.25,NORAM,0,Closed Won,0,691.65,216,Closed Won,8095579935
