OPP CUST - Final Customer,Amount,Pipeline 2022 (k$),Pipeline 2023 (k$),Pipeline 2024 (k$),Pipeline 2025 (k$),Pipeline 2026 (k$),Weighted 2021 (k$),PROD - Product name(new) ,INFO - Sales Region,Services Value (k$) 2021,Services Value (k$) 2022,Services Value (k$) 2023,Services Value (k$) 2024,Services Value (k$) 2025,Services Value (k$) 2026,Deal owner,Pipeline 2026 (k$)2,Weighted 2021 (k$)3,Weighted 2023 (k$),INFO - Sales Region4,Pipeline 2021 (k$),Deal Stage,Weighted 2022 (k$),Amount5,Pipeline 2025 (k$)6,Deal Stage7,Deal ID
IACJ (Inventec),1634.6,0,5,174.6,727.5,727.5,0,VIC408,APAC,0,0,0,0,0,0,KATSUNORI MIYAHATA,727.5,0,2.5,APAC,0,Design In,0,1634.6,727.5,Design In,5676044393
IACJ (Inventec),924.96,285,390.96,0,0,0,249,VIC405 1.2.5,APAC,0,0,0,0,0,0,KATSUNORI MIYAHATA,0,249,390.96,APAC,249,Closed Won,285,924.96,0,Closed Won,5676022200
IStorage,422.6,43.2,194.4,135,0,0,50,SO64,EMEA,0,0,0,0,0,0,franck buonanno,0,50,194.4,EMEA,50,Closed Won,43.2,422.6,0,Closed Won,5783215218
IStorage,599.4,67.5,261.9,270,270,0,0,MS6003,EMEA,0,0,0,0,0,0,franck buonanno,0,0,261.9,EMEA,0,Closed Won,67.5,599.4,270,Closed Won,5783863585
IStorage,345.5,66,110,110,0,0,59.5,SO64,EMEA,0,0,0,0,0,0,franck buonanno,0,59.5,110,EMEA,59.5,Closed Won,66,345.5,0,Closed Won,5783821388
Identiv,8270.78,1261.26,2364.42,1695.6,1272,572.5,1105,SCR200,NORAM,0,0,0,0,0,0,Richard Venia,572.5,1105,2364.42,NORAM,1105,Closed Won,1261.26,8270.78,1272,Closed Won,5574168481
IoTrust,410.75,0,0,13.25,132.5,265,0,MS6003,APAC,0,0,0,0,0,0,KATSUNORI MIYAHATA,265,0,0,APAC,0,Design In,0,410.75,132.5,Design In,5675996928
JCM,142.05,97.5,0,0,0,0,44.55,(No value),EMEA,0,0,0,0,0,0,franck buonanno,0,44.55,0,EMEA,44.55,Closed Won,97.5,142.05,0,Closed Won,5783220622
Japan Sake and Shuchu Assosiation,1129,9,70,250,400,400,0,VIC155,APAC,0,0,0,0,0,0,KATSUNORI MIYAHATA,400,0,7,APAC,0,Identified,0.9,1129,400,Identified,9172759823
Kao,482,0,2,30,150,300,0,VIC155,APAC,0,0,0,0,0,0,KATSUNORI MIYAHATA,300,0,0.2,APAC,0,Identified,0,482,150,Identified,7234046340
Kyushu Electric Power,810,0,0,510,150,150,0,INES,APAC,0,0,0,510,150,150,KATSUNORI MIYAHATA,150,0,0,APAC,0,Identified,0,810,150,Identified,10124862254
Kyushu Electric Power,810,0,0,510,150,150,0,INES,APAC,0,0,0,510,150,150,KATSUNORI MIYAHATA,150,0,0,APAC,0,Identified,0,810,150,Identified,9174208662
Kyushu Electric Power,810,0,0,510,150,150,0,INES,APAC,0,0,0,510,150,150,KATSUNORI MIYAHATA,150,0,0,APAC,0,Identified,0,810,150,Identified,10124861337
L&G,1214.85,0,77.35,318.5,364,455,0,VIC408,EMEA,0,0,0,0,0,0,franck buonanno,455,0,38.675,EMEA,0,Design In,0,1214.85,364,Design In,10460246026
L3 Harris,241.35,0,93.75,45,54,48.6,0,VIC408,NORAM,0,0,0,0,0,0,Richard Venia,48.6,0,46.875,NORAM,0,Design In,0,241.35,54,Design In,7776759877
LEGIC,4005,0,0,890,1335,1780,0,MS6001,EMEA,0,0,0,0,0,0,franck buonanno,1780,0,0,EMEA,0,Design In,0,4005,1335,Design In,11234209078
Landis&Gyr,1910,890,1020,0,0,0,0,VIC405 1.2.5,EMEA,0,0,0,0,0,0,franck buonanno,0,0,1020,EMEA,0,Closed Won,890,1910,0,Closed Won,8261263708
Landis&Gyr UK,4233,0,498,1245,1245,1245,0,VIC408,EMEA,0,0,0,0,0,0,franck buonanno,1245,0,249,EMEA,0,Design In,0,4233,1245,Design In,8536914342
Legic,6375.9,925.65,1225.25,1267.5,1267.5,1690,0,MS6001,EMEA,0,0,0,0,0,0,franck buonanno,1690,0,1225.25,EMEA,0,Closed Won,925.65,6375.9,1267.5,Closed Won,5783181666
Legic,7259.4,546,2144.2,1400,1400,1400,369.2,MS6001,APAC,0,0,0,0,0,0,KATSUNORI MIYAHATA,1400,369.2,2144.2,APAC,369.2,Closed Won,546,7259.4,1400,Closed Won,7640471215
MONOKOTO Design,278.75,0,3.75,25,125,125,0,VIC155,APAC,0,0,0,0,0,0,KATSUNORI MIYAHATA,125,0,1.875,APAC,0,Design In,0,278.75,125,Design In,9687049291
Magano JRC,138,3,10,25,50,50,0,INES,APAC,0,3,10,25,50,50,KATSUNORI MIYAHATA,50,0,5,APAC,0,Design In,1.5,138,50,Design In,9174128982
Marx,240,0,120,120,0,0,0,MS6003,EMEA,0,0,0,0,0,0,franck buonanno,0,0,60,EMEA,0,Design In,0,240,0,Design In,7931608144
Matternet (Drones),16.2,0,0,0,0,0,3.24,(No value),NORAM,16.2,0,0,0,0,0,Richard Venia,0,3.24,0,NORAM,16.2,Qualified,0,16.2,0,Qualified,5574134700
Matternet (Drones),0,0,0,0,0,0,0,VIC405 1.2.5,NORAM,0,0,0,0,0,0,Richard Venia,0,0,0,NORAM,0,Qualified,0,0,0,Qualified,5574214733
Medtronic,683.7,0,21.2,102.5,198,362,0,VIC420,NORAM,0,0,0,0,0,0,Richard Venia,362,0,10.6,NORAM,0,Design In,0,683.7,198,Design In,5574219164
Medtronic,946.84,27.02,76.32,102.5,198,543,0,VIC420,NORAM,0,0,0,0,0,0,Richard Venia,543,0,76.32,NORAM,0,Closed Won,27.02,946.84,198,Closed Won,6765740934
Medtronic,683.7,0,21.2,102.5,198,362,0,VIC420,NORAM,0,0,0,0,0,0,Richard Venia,362,0,10.6,NORAM,0,Design In,0,683.7,198,Design In,5574168479
Medtronic CRHD,40.54,22,0,0,0,0,18.54,VIC405 1.2.1 (LEGACY),NORAM,0,0,0,0,0,0,Richard Venia,0,18.54,0,NORAM,18.54,Closed Won,22,40.54,0,Closed Won,5573901387
Medtronics,443.15,0,0,45.3,97.7,300.15,0,VIC183,EMEA,0,0,0,0.3,0.2,0.15,franck buonanno,300.15,0,0,EMEA,0,Qualified,0,443.15,97.7,Qualified,11250075042
Metersit,2520,0,70,350,700,1400,0,VIC408,EMEA,0,0,0,0,0,0,franck buonanno,1400,0,14,EMEA,0,Qualified,0,2520,700,Qualified,7806896412
Microsensys GmbH,59.8,33.8,0,0,0,0,26,(No value),EMEA,0,0,0,0,0,0,franck buonanno,0,26,0,EMEA,26,Closed Won,33.8,59.8,0,Closed Won,5783175979
Milko,1239,0,177,265.5,354,442.5,0,SCR200,EMEA,0,0,0,0,0,0,franck buonanno,442.5,0,88.5,EMEA,0,Design In,0,1239,354,Design In,9385836872
Milko,122.4,0,30.6,30.6,30.6,30.6,0,(No value),EMEA,0,0,0,0,0,0,franck buonanno,30.6,0,15.3,EMEA,0,Design In,0,122.4,30.6,Design In,11487499937
NTIS,0,0,0,0,0,0,0,(No value),EMEA,0,0,0,0,0,0,franck buonanno,0,0,0,EMEA,0,Identified,0,0,0,Identified,11812899888
NTT Telecon,300,0,0,0,200,100,0,INES,APAC,0,0,0,0,200,100,KATSUNORI MIYAHATA,100,0,0,APAC,0,Identified,0,300,200,Identified,5676039533
NTT Telecon,200,0,0,0,100,100,0,INES,APAC,0,0,0,0,100,100,KATSUNORI MIYAHATA,100,0,0,APAC,0,Identified,0,200,100,Identified,5675968308
Nagano JRC,1130,0,30,100,500,500,0,VIC408,APAC,0,0,0,0,0,0,KATSUNORI MIYAHATA,500,0,3,APAC,0,Identified,0,1130,500,Identified,9173396589
Nagano JRC,12,0,0,4,4,4,0,INES,APAC,0,0,0,4,4,4,KATSUNORI MIYAHATA,4,0,0,APAC,0,Qualified,0,12,4,Qualified,10065257550
Neowave,449.5,25.5,34,80,155,155,0,SCR200,EMEA,0,0,0,0,0,0,franck buonanno,155,0,34,EMEA,0,Closed Won,25.5,449.5,155,Closed Won,9068583977
Neowave,337.5,60,82.5,165,0,0,30,(No value),EMEA,0,0,0,0,0,0,franck buonanno,0,30,82.5,EMEA,30,Closed Won,60,337.5,0,Closed Won,5783209373
Neowave,487.5,75,150,225,0,0,18.75,MS6003,EMEA,0,0,0,0,0,0,franck buonanno,0,18.75,75,EMEA,37.5,Design In,37.5,487.5,0,Design In,5783181667
Novomatic,651.2,140.5,196.7,140.5,140.5,0,33,(No value),EMEA,0,0,0,0,0,0,franck buonanno,0,33,196.7,EMEA,33,Closed Won,140.5,651.2,140.5,Closed Won,5783821390
Novomatic,173.75,12.5,21.25,70,70,0,0,VIC405 1.2.5,EMEA,0,0,0,0,0,0,franck buonanno,0,0,21.25,EMEA,0,Closed Won,12.5,173.75,70,Closed Won,6119554172
Odin,17.7,0,0.2,1.5,6,10,0,VIC405 1.2.5,EMEA,0,0,0,0,0,0,franck buonanno,10,0,0.1,EMEA,0,Design In,0,17.7,6,Design In,9990724919
Oi Electric,2658,0,5,420,1099,1134,0,VIC408,APAC,0,0,0,0,0,0,KATSUNORI MIYAHATA,1134,0,1,APAC,0,Qualified,0,2658,1099,Qualified,10856641187
